יישוב,מאומתים,חולים פעילים,חולים חדשים ב-7 ימים האחרונים,בדיקות ב-7 ימים האחרונים,"חולים פעילים ל- 10,000 נפש"
ירושלים,20704,3268,1853,14090,35
בני ברק,11004,1350,912,5137,67
אשדוד,4686,1100,651,6600,49
מודיעין עילית,4169,718,516,2653,93
תל אביב - יפו,5306,701,282,6669,15
בית שמש,3408,683,485,2470,54
פתח תקווה,3093,615,377,3876,25
נתניה,2406,563,288,3370,26
חיפה,2121,548,265,5011,20
טירה,1155,547,276,1665,206
אום אל-פחם,1154,446,282,2055,79
אשקלון,1721,440,248,2750,31
באר שבע,2118,402,229,3569,20
כפר קאסם,1055,402,190,1319,167
חולון,2166,356,191,2571,19
רהט,1255,352,139,2026,53
אלעד,2128,334,233,998,70
ראשון לציון,2005,330,173,2955,14
ביתר עילית,2579,302,205,1337,49
נצרת,862,302,160,1241,38
נתיבות,999,272,182,1071,71
חדרה,909,257,150,1999,27
בת ים,1613,254,124,2036,20
מעלה עירון,422,244,127,775,162
טייבה,1116,242,122,1141,55
רחובות,1501,238,139,1813,17
רמלה,1391,231,104,1456,31
לקיה,303,212,31,566,138
רמת גן,1400,211,89,2010,14
סח'נין,547,204,115,846,62
טבריה,997,183,76,1315,41
לוד,1520,182,88,1093,24
קלנסווה,1049,179,93,684,78
דאלית אל-כרמל,320,179,70,853,104
ערערה,355,170,113,715,85
ראש העין,792,168,75,1005,28
שפרעם,311,163,102,1310,39
ג'דיידה-מכר,363,152,79,612,73
עכו,417,144,70,1035,28
רכסים,489,140,109,1263,113
קרית גת,984,140,70,831,24
בית ג'ן,302,138,33,603,116
אבו סנאן,205,137,108,773,103
באקה אל-גרביה,632,135,73,550,46
יבנה,565,134,84,663,29
כפר סבא,651,130,61,2053,13
בוקעאתא,132,128,81,462,192
הרצליה,796,121,62,1672,13
מודיעין-מכבים-רעות,852,121,56,1047,14
עין מאהל,384,119,35,214,88
כפר קרע,413,118,84,551,62
ג'לג'וליה,279,114,73,492,112
רעננה,804,114,54,1469,15
אור יהודה,861,109,43,462,31
שדרות,276,108,83,613,40
אופקים,455,107,66,680,34
עספיא,181,107,52,810,87
פוריידיס,185,105,65,409,79
נהריה,527,103,55,1108,17
כפר כנא,229,102,40,450,45
ג'ת,320,102,41,366,84
אילת,493,101,69,769,18
עפולה,324,101,38,809,19
כרמיאל,304,101,57,978,22
ריינה,177,100,62,299,60
כפר מנדא,295,99,58,268,49
מג'ד אל-כרום,245,98,60,586,64
קרית אתא,528,92,49,1007,16
ג'ולס,120,91,78,471,146
קרית מלאכי,724,86,50,444,35
יפיע,268,82,50,295,43
הוד השרון,422,81,38,753,14
ירכא,483,80,44,459,51
טמרה,217,80,48,689,23
מגאר,151,77,41,640,34
קרית מוצקין,207,77,46,788,18
צפת,464,75,44,301,21
פרדס חנה-כרכור,327,73,38,705,18
מעלה אדומים,432,70,45,612,19
כסרא-סמיע,100,68,41,355,78
גבעת זאב,394,66,41,377,35
באר יעקב,298,64,33,319,25
קרית ביאליק,284,62,46,919,16
רמת השרון,358,61,34,752,13
אבו גוש,125,60,32,319,75
קרית ים,190,60,42,812,15
גבעתיים,367,60,35,699,11
עילוט,268,56,24,186,67
נוף הגליל,224,55,24,785,12
כפר ברא,184,55,33,181,145
קרית אונו,344,53,24,464,14
גדרה,236,53,15,398,21
גן יבנה,312,52,28,306,23
נס ציונה,406,52,25,448,11
דימונה,436,51,25,689,14
זמר,172,50,24,197,71
גבעת שמואל,303,50,31,287,20
אור עקיבא,235,48,25,242,25
מבשרת ציון,178,46,29,387,20
נשר,99,45,22,414,20
טורעאן,93,45,20,224,31
שוהם,231,43,23,302,21
מגדל העמק,226,43,23,317,17
דבוריה,165,41,22,362,39
זכרון יעקב,169,40,22,228,18
טירת כרמל,152,39,22,278,17
יהוד,316,39,11-14,346,13
אעבלין,100,39,20,399,30
שבלי - אום אל-גנם,58,38,24,149,59
דייר חנא,102,38,17,214,36
נחף,169,37,24,245,28
חריש,181,37,19,183,26
בענה,114,35,11-14,140,42
בית שאן,261,35,18,186,18
ג'סר א-זרקא,199,35,11-14,403,23
כוכב יעקב,210,34,22,103,38
יקנעם עילית,129,33,16,218,14
יקיר,68,32,6-10,61,136
קרית יערים,181,32,26,145,51
דייר אל-אסד,279,31,11-14,167,25
עמנואל,129,31,16,288,74
כפר יאסיף,88,31,26,398,29
קרית שמונה,150,31,11-14,181,14
מעלות-תרשיחא,121,30,16,392,13
גני תקווה,224,30,16,239,15
עראבה,108,29,23,352,11
בועיינה-נוג'ידאת,43,28,6-10,164,28
עין נקובא,125,28,6-10,76,80
כוכב יאיר,68,28,15,261,31
ערד,209,28,16,416,10
כעביה-טבאש-חג'אג'רה,41,27,6-10,135,46
ירוחם,99,27,24,166,26
אזור,153,26,16,166,22
שייח' דנון,46,25,11-14,86,86
אריאל,99,25,17,226,14
שעב,74,25,6-10,127,34
תפרח,85,24,11-14,42,110
מייסר,33,23,15,66,114
שערי תקווה,66,23,22,168,41
אכסאל,159,23,11-14,162,15
חורפיש,96,22,16,209,34
כאבול,77,22,11-14,229,18
יאנוח-ג'ת,70,22,6-10,160,33
ראמה,67,22,11-14,128,26
"בסמ""ה",98,21,11-14,192,20
אורנית,57,21,11-14,178,23
תל מונד,89,21,11-14,202,16
סאג'ור,64,21,6-10,102,51
מעיליא,40,21,6-10,113,66
פקיעין (בוקייעה),46,20,11-14,265,34
עומר,95,19,6-10,125,24
כסיפה,196,19,6-10,187,11
כפר יונה,132,19,6-10,278,8
חצור הגלילית,62,19,6-10,127,19
סלמה,30,18,6-10,120,52
משהד,29,18,6-10,102,20
מג'דל שמס,46,18,1-5,117,16
אפרת,127,17,6-10,138,15
קרני שומרון,82,16,1-5,75,19
מיתר,76,16,6-10,159,16
בסמת טבעון,33,15,6-10,157,19
מזכרת בתיה,138,15,6-10,147,10
קרית עקרון,65,15,6-10,98,14
אבטין,22,15,1-5,42,53
שלומי,67,15,11-14,137,23
מזרעה,30,15,11-14,68,38
ביר אל-מכסור,30,15,1-5,106,15
יד בנימין,71,קטן מ-15,6-10,33,19
מבוא חורון,39,קטן מ-15,6-10,38,43
שגב-שלום,28,קטן מ-15,1-5,75,7
מסעדה,24,קטן מ-15,1-5,29,7
גבע בנימין,77,קטן מ-15,11-14,71,26
כפר כמא,קטן מ-15,קטן מ-15,6-10,102,33
מתן,22,קטן מ-15,1-5,48,12
בית אריה,47,קטן מ-15,1-5,36,8
יבנאל,106,קטן מ-15,1-5,49,12
כפר תבור,29,קטן מ-15,0,57,7
אבן יהודה,107,קטן מ-15,1-5,140,9
קדימה-צורן,122,קטן מ-15,1-5,216,6
ראש פינה,קטן מ-15,קטן מ-15,1-5,17,7
טלמון,30,קטן מ-15,1-5,39,8
עלי,35,קטן מ-15,6-10,33,15
מסעודין אל-עזאזמה,קטן מ-15,קטן מ-15,0,37,1
טובא-זנגריה,קטן מ-15,קטן מ-15,0,38,3
אבו רובייעה (שבט),קטן מ-15,קטן מ-15,1-5,10,1
אחוזת ברק,קטן מ-15,קטן מ-15,1-5,26,13
אלון שבות,31,קטן מ-15,0,35,3
נווה דניאל,20,קטן מ-15,1-5,21,4
שמשית,24,קטן מ-15,1-5,38,17
שילה,27,קטן מ-15,0,22,2
פרדסיה,28,קטן מ-15,1-5,73,8
סביון,64,קטן מ-15,1-5,97,12
רמת ישי,26,קטן מ-15,1-5,88,11
כוכב השחר,28,קטן מ-15,0,21,4
"כפר חב""ד",177,קטן מ-15,1-5,75,15
עיילבון,34,קטן מ-15,1-5,121,19
בית דגן,71,קטן מ-15,6-10,83,15
אבו רוקייק (שבט),קטן מ-15,קטן מ-15,1-5,38,6
תל שבע,52,קטן מ-15,1-5,158,4
"בני עי""ש",41,קטן מ-15,1-5,91,15
ערערה-בנגב,347,קטן מ-15,1-5,113,5
צור יצחק,20,קטן מ-15,6-10,91,13
פסוטה,קטן מ-15,קטן מ-15,0,46,3
