,0
שם_ישוב,שם_ישוב_לועזי
אבו ג'ווייעד (שבט),ABU JUWEI'ID
אבו גוש,ABU GHOSH
אבו סנאן,ABU SINAN
אבו סריחאן (שבט),ABU SUREIHAN
אבו עבדון (שבט),ABU  ABDUN
אבו עמאר (שבט),ABU  AMMAR
אבו עמרה (שבט),ABU  AMRE
אבו קורינאת (שבט),ABU QUREINAT
אבו קרינאת (יישוב),ABU QUREINAT
אבו רובייעה (שבט),ABU RUBEI'A
אבו רוקייק (שבט),ABU RUQAYYEQ
אבו תלול,
אבטין,IBTIN
אבטליון,AVTALYON
אביאל,AVI'EL
אביבים,AVIVIM
אביגדור,AVIGEDOR
אביחיל,AVIHAYIL
אביטל,AVITAL
אביעזר,AVI'EZER
אבירים,ABBIRIM
אבן יהודה,EVEN YEHUDA
אבן מנחם,EVEN MENAHEM
אבן ספיר,EVEN SAPPIR
אבן שמואל,EVEN SHEMU'EL
אבני איתן,AVNE ETAN
אבני חפץ,AVNE HEFEZ
אבנת,AVENAT
אבשלום,AVSHALOM
אדורה,ADORA
אדירים,ADDIRIM
אדמית,ADAMIT
אדרת,ADDERET
אודים,UDIM
אודם,ODEM
אוהד,OHAD
אום אל-פחם,UMM AL-FAHM
אום אל-קוטוף,UMM AL-QUTUF
אום בטין,
אומן,OMEN
אומץ,OMEZ
אופקים,OFAQIM
אור הגנוז,OR HAGANUZ
אור הנר,OR HANER
אור יהודה,OR YEHUDA
אור עקיבא,OR AQIVA
אורה,ORA
אורות,OROT
אורטל,ORTAL
אורים,URIM
אורנים,ORANIM
אורנית,ORANIT
אושה,USHA
אזור,AZOR
אחווה,AHAWA
אחוזם,AHUZZAM
אחוזת ברק,
אחיהוד,AHIHUD
אחיטוב,AHITUV
אחיסמך,AHISAMAKH
אחיעזר,AHI'EZER
אטרש (שבט),ATRASH
איבים,IBBIM
אייל,EYAL
איילת השחר,AYYELET HASHAHAR
אילון,ELON
אילות,ELOT
אילניה,ILANIYYA
אילת,ELAT
אירוס,
איתמר,ITAMAR
איתן,ETAN
איתנים,ETANIM
אכסאל,IKSAL
אל סייד,
אל-עזי,
אל-עריאן,AL-ARYAN
אל-רום,EL-ROM
אלומה,ALUMMA
אלומות,ALUMMOT
אלון הגליל,ALLON HAGALIL
אלון מורה,ELON MORE
אלון שבות,ALLON SHEVUT
אלוני אבא,ALLONE ABBA
אלוני הבשן,ALLONE HABASHAN
אלוני יצחק,ALLONE YIZHAQ
אלונים,ALLONIM
אלי-עד,ELI AL
אליאב,
אליכין,ELYAKHIN
אליפז,ELIFAZ
אליפלט,ELIFELET
אליקים,ELYAQIM
אלישיב,ELYASHIV
אלישמע,ELISHAMA
אלמגור,ALMAGOR
אלמוג,ALMOG
אלעד,
אלעזר,EL'AZAR
אלפי מנשה,ALFE MENASHE
אלקוש,ELQOSH
אלקנה,ELQANA
אמונים,EMUNIM
אמירים,AMIRIM
אמנון,AMNUN
אמציה,AMAZYA
אניעם,ANI'AM
אסד (שבט),ASAD
אספר,ASEFAR
אעבלין,I'BILLIN
אעצם (שבט),A'SAM
אפיניש (שבט),AFEINISH
אפיק,AFIQ
אפיקים,AFIQIM
אפק,AFEQ
אפרת,EFRATA
ארבל,ARBEL
ארגמן,ARGAMAN
ארז,EREZ
אריאל,ARI'EL
ארסוף,ARSUF
אשבול,ESHBOL
אשבל,NAHAL ESHBAL
אשדוד,ASHDOD
אשדות יעקב  (איחוד),ASHDOT YA'AQOV(IHUD)
אשדות יעקב  (מאוחד),ASHDOT YA'AQOV(ME'UH
אשחר,ESHHAR
אשכולות,ESHKOLOT
אשל הנשיא,ESHEL HANASI
אשלים,ASHALIM
אשקלון,ASHQELON
אשרת,ASHERAT
אשתאול,ESHTA'OL
אתגר,ETGAR
באקה אל-גרביה,
באר אורה,BE'ER ORA
באר גנים,
באר טוביה,BE'ER TUVEYA
באר יעקב,BE'ER YA'AQOV
באר מילכה,
באר שבע,BE'ER SHEVA
בארות יצחק,BE'EROT YIZHAQ
בארותיים,BE'EROTAYIM
בארי,BE'ERI
בוסתן הגליל,BUSTAN HAGALIL
בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT
בוקעאתא,BUQ'ATA
בורגתה,BURGETA
בחן,BAHAN
בטחה,BITHA
ביצרון,BIZZARON
ביר אל-מכסור,BIR EL-MAKSUR
ביר הדאג',
ביריה,BIRIYYA
בית אורן,BET OREN
בית אל,BET EL
בית אלעזרי,BET EL'AZARI
בית אלפא,BET ALFA
בית אריה,BET ARYE
בית ברל,BET BERL
בית ג'ן,BEIT JANN
בית גוברין,BET GUVRIN
בית גמליאל,BET GAMLI'EL
בית דגן,BET DAGAN
בית הגדי,BET HAGADDI
בית הלוי,BET HALEVI
בית הלל,BET HILLEL
בית העמק,BET HAEMEQ
בית הערבה,BET HAARAVA
בית השיטה,BET HASHITTA
בית זיד,BET ZEID
בית זית,BET ZAYIT
בית זרע,BET ZERA
בית חורון,BET HORON
בית חירות,BET HERUT
בית חלקיה,BET HILQIYYA
בית חנן,BET HANAN
בית חנניה,BET HANANYA
בית חשמונאי,BET HASHMONAY
בית יהושע,BET YEHOSHUA
בית יוסף,BET YOSEF
בית ינאי,BET YANNAY
בית יצחק-שער חפר,BET YIZHAQ-SH. HEFER
בית לחם הגלילית,BET LEHEM HAGELILIT
בית מאיר,BET ME'IR
בית נחמיה,BET NEHEMYA
בית ניר,BET NIR
בית נקופה,BET NEQOFA
בית עובד,BET OVED
בית עוזיאל,BET UZZI'EL
בית עזרא,BET EZRA
בית עריף,BET ARIF
בית צבי,BET ZEVI
בית קמה,BET QAMA
בית קשת,BET QESHET
בית רבן,BET RABBAN
בית רימון,BET RIMMON
בית שאן,BET SHE'AN
בית שמש,BET SHEMESH
בית שערים,BET SHE'ARIM
בית שקמה,BET SHIQMA
ביתן אהרן,BITAN AHARON
ביתר עילית,BETAR ILLIT
בלפוריה,BALFURIYYA
בן זכאי,BEN ZAKKAY
בן עמי,BEN AMMI
בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR)
בן שמן (מושב),BEN SHEMEN (MOSHAV)
בני ברק,BENE BERAQ
בני דקלים,BNE DKALIM
בני דרום,BENE DAROM
בני דרור,BENE DEROR
בני יהודה,BENE YEHUDA
בני נצרים,BENE NEZARIM
בני עטרות,BENE ATAROT
"בני עי""ש",BENE AYISH
בני ציון,BENE ZIYYON
בני ראם,BENE RE'EM
בניה,BENAYA
בנימינה-גבעת עדה,BINYAMINA
"בסמ""ה",BASMA
בסמת טבעון,BASMAT TAB'UN
בענה,BI NE
בצרה,BAZRA
בצת,BEZET
בקוע,BEQOA
בקעות,BEQA'OT
בר גיורא,BAR GIYYORA
בר יוחאי,BAR YOHAY
ברוכין,
ברור חיל,BEROR HAYIL
ברוש,BEROSH
ברכה,BERAKHA
ברכיה,BEREKHYA
ברעם,BAR'AM
ברק,BARAQ
ברקאי,BARQAY
ברקן,BARQAN
ברקת,BAREQET
בת הדר,BAT HADAR
בת חן,BAT HEN
בת חפר,BAT HEFER
בת חצור,BAT HAZOR
בת ים,BAT YAM
בת עין,BAT AYIN
בת שלמה,BAT SHELOMO
ג'דיידה-מכר,JUDEIDE-MAKER
ג'ולס,JULIS
ג'לג'וליה,JALJULYE
ג'נאביב (שבט),JUNNABIB
ג'סר א-זרקא,JISR AZ-ZARQA
ג'ש (גוש חלב),JISH(GUSH HALAV)
ג'ת,JAAT
גאולי תימן,GE'ULE TEMAN
גאולים,GE'ULIM
גאליה,GE'ALYA
גבולות,GEVULOT
גבים,GEVIM
גבע,GEVA
גבע בנימין,GEVA BINYAMIN
גבע כרמל,GEVA  KARMEL
גבעולים,GIV'OLIM
גבעון החדשה,GIV'ON HAHADASHA
גבעות בר,
גבעת אבני,GIV'AT AVNI
גבעת אלה,GIV'AT ELA
גבעת ברנר,GIV'AT BRENNER
גבעת השלושה,GIV'AT HASHELOSHA
גבעת זאב,GIV'AT ZE'EV
"גבעת ח""ן",GIV'AT HEN
גבעת חיים (איחוד),GIV'AT HAYYIM (IHUD)
גבעת חיים (מאוחד),GIV'AT HAYYIM(ME'UHA
גבעת יואב,GIV'AT YO'AV
גבעת יערים,GIV'AT YE'ARIM
גבעת ישעיהו,GIV'AT YESHA'YAHU
"גבעת כ""ח",GIV'AT KOAH
"גבעת ניל""י",GIV'AT NILI
גבעת עוז,GIV'AT OZ
גבעת שמואל,GIV'AT SHEMU'EL
גבעת שמש,GIV'AT SHEMESH
גבעת שפירא,GIV'AT SHAPPIRA
גבעתי,GIV'ATI
גבעתיים,GIV'ATAYIM
גברעם,GEVAR'AM
גבת,GEVAT
גדות,GADOT
גדיש,GADISH
גדעונה,GID'ONA
גדרה,GEDERA
גונן,GONEN
גורן,GOREN
גורנות הגליל,GORNOT HAGALIL
גזית,GAZIT
גזר,GEZER
גיאה,GE'A
גיבתון,GIBBETON
גיזו,GIZO
גילון,GILON
גילת,GILAT
גינוסר,GINNOSAR
גיניגר,GINNEGAR
גינתון,GINNATON
גיתה,GITTA
גיתית,GITTIT
גלאון,GAL'ON
גלגל,GILGAL
גליל ים,GELIL YAM
גלעד (אבן יצחק),EVEN YIZHAQ(GAL'ED)
גמזו,GIMZO
גן הדרום,GAN HADAROM
גן השומרון,GAN HASHOMERON
גן חיים,GAN HAYYIM
גן יאשיה,GAN YOSHIYYA
גן יבנה,GAN YAVNE
גן נר,GAN NER
גן שורק,GAN SOREQ
גן שלמה,GAN SHELOMO
גן שמואל,GAN SHEMU'EL
גנות,GANNOT
גנות הדר,GANNOT HADAR
גני הדר,GANNE HADAR
גני טל,
גני יוחנן,GANNE YOHANAN
גני מודיעין,
גני עם,GANNE AM
גני תקווה,GANNE TIQWA
געש,GA'ASH
געתון,GA'TON
גפן,GEFEN
גרופית,GEROFIT
גשור,GESHUR
גשר,GESHER
גשר הזיו,GESHER HAZIW
גת (קיבוץ),GAT(QIBBUZ)
גת רימון,GAT RIMMON
דאלית אל-כרמל,DALIYAT AL-KARMEL
דבורה,DEVORA
דבוריה,DABBURYE
דבירה,DEVIRA
דברת,DAVERAT
דגניה א',DEGANYA ALEF
דגניה ב',DEGANYA BET
"דוב""ב",DOVEV
דולב,DOLEV
דור,DOR
דורות,DOROT
דחי,DAHI
דייר אל-אסד,DEIR AL-ASAD
דייר חנא,DEIR HANNA
דייר ראפאת,DEIR RAFAT
דימונה,DIMONA
דישון,DISHON
דליה,DALIYYA
דלתון,DALTON
דמיידה,DEMEIDE
דן,DAN
דפנה,DAFNA
דקל,DEQEL
דריג'את,
האון,HAON
הבונים,HABONIM
הגושרים,HAGOSHERIM
הדר עם,HADAR AM
הוד השרון,HOD HASHARON
הודיה,HODIYYA
הודיות,HODAYOT
הוואשלה (שבט),HAWASHLA
הוזייל (שבט),HUZAYYEL
הושעיה,HOSHA'AYA
הזורע,HAZOREA
הזורעים,HAZORE'IM
החותרים,HAHOTERIM
היוגב,HAYOGEV
הילה,HILLA
המעפיל,HAMA'PIL
הסוללים,HASOLELIM
העוגן,HAOGEN
הר אדר,HAR ADAR
הר גילה,HAR GILLO
הר עמשא,HAR AMASA
הראל,HAR'EL
הרדוף,HARDUF
הרצליה,HERZELIYYA
הררית,HARARIT
ורד יריחו,WERED YERIHO
ורדון,WARDON
זבארגה (שבט),ZABARGA
זבדיאל,ZAVDI'EL
זוהר,ZOHAR
זיקים,ZIQIM
זיתן,ZETAN
זכרון יעקב,ZIKHRON YA'AQOV
זכריה,ZEKHARYA
זמר,ZEMER
זמרת,ZIMRAT
זנוח,ZANOAH
זרועה,ZERU'A
זרזיר,ZARZIR
זרחיה,ZERAHYA
ח'ואלד,
ח'ואלד (שבט),KHAWALED
חבצלת השרון,HAVAZZELET HASHARON
חבר,HEVER
חברון,
חגור,HAGOR
חגי,HAGGAI
חגלה,HOGLA
חד-נס,HAD-NES
חדיד,HADID
חדרה,HADERA
חוג'ייראת (ד'הרה),HUJEIRAT (DAHRA)
חולדה,HULDA
חולון,HOLON
חולית,HOLIT
חולתה,HULATA
חוסן,HOSEN
חוסנייה,HUSSNIYYA
חופית,HOFIT
חוקוק,HUQOQ
חורה,HURA
חורפיש,HURFEISH
חורשים,HORESHIM
חזון,HAZON
חיבת ציון,HIBBAT ZIYYON
חיננית,HINNANIT
חיפה,HAIFA
חירות,HERUT
חלוץ,HALUZ
חלץ,HELEZ
חמאם,HAMAM
חמד,HEMED
חמדיה,HAMADYA
חמדת,NAHAL HEMDAT
חמרה,HAMRA
חניאל,HANNI'EL
חניתה,HANITA
חנתון,HANNATON
חספין,HASPIN
חפץ חיים,HAFEZ HAYYIM
חפצי-בה,HEFZI-BAH
חצב,HAZAV
חצבה,HAZEVA
חצור הגלילית,HAZOR HAGELILIT
חצור-אשדוד,HAZOR-ASHDOD
חצר בארותיים,HAZAR BE'EROTAYIM
חצרות חולדה,HAZROT HULDA
חצרות יסף,HAZROT YASAF
"חצרות כ""ח",HAZROT KOAH
חצרים,HAZERIM
חרב לאת,HEREV LE'ET
חרוצים,HARUZIM
חריש,HARISH
חרמש,HERMESH
חרשים,HARASHIM
חשמונאים,HASHMONA'IM
טבריה,TIBERIAS
טובא-זנגריה,TUBA-ZANGARIYYE
טורעאן,TUR'AN
טייבה,TAYIBE
טייבה (בעמק),TAYIBE(BAEMEQ)
טירה,TIRE
טירת יהודה,TIRAT YEHUDA
טירת כרמל,TIRAT KARMEL
טירת צבי,TIRAT ZEVI
טל שחר,TAL SHAHAR
טל-אל,TAL-EL
טללים,TELALIM
טלמון,TALMON
טמרה,TAMRA
טמרה (יזרעאל),TAMRA (YIZRE'EL)
טנא,TENE
טפחות,TEFAHOT
יאנוח-ג'ת,YANUH-JAT
יבול,YEVUL
יבנאל,YAVNE'EL
יבנה,YAVNE
יגור,YAGUR
יגל,YAGEL
יד בנימין,YAD BINYAMIN
יד השמונה,YAD HASHEMONA
יד חנה,YAD HANNA
יד מרדכי,YAD MORDEKHAY
יד נתן,YAD NATAN
"יד רמב""ם",YAD RAMBAM
ידידה,YEDIDA
יהוד-מונוסון,YEHUD-MONOSON
יהל,YAHEL
יובל,YUVAL
יובלים,YUVALIM
יודפת,YODEFAT
יונתן,YONATAN
יושיביה,YOSHIVYA
יזרעאל,YIZRE'EL
יחיעם,YEHI'AM
יטבתה,YOTVATA
"ייט""ב",YITAV
יכיני,YAKHINI
ינוב,YANUV
ינון,YINNON
יסוד המעלה,YESUD HAMA'ALA
יסודות,YESODOT
יסעור,YAS'UR
יעד,YA'AD
יעל,YA'EL
יעף,YE'AF
יערה,YA'ARA
יפיע,YAFI
יפית,YAFIT
יפעת,YIF'AT
יפתח,YIFTAH
יצהר,YIZHAR
יציץ,YAZIZ
יקום,YAQUM
יקיר,YAQIR
יקנעם (מושבה),YOQNE'AM(MOSHAVA)
יקנעם עילית,YOQNE'AM ILLIT
יראון,YIR'ON
ירדנה,YARDENA
ירוחם,YEROHAM
ירושלים,JERUSALEM
ירחיב,YARHIV
ירכא,YIRKA
ירקונה,YARQONA
ישע,YESHA
ישעי,YISH'I
ישרש,YASHRESH
יתד,YATED
יתיר,
כאבול,KABUL
כאוכב אבו אל-היג'א,KAOKAB ABU AL-HIJA
כברי,KABRI
כדורי,KADOORIE
כדיתה,
כוכב השחר,KOKHAV HASHAHAR
כוכב יאיר,KOKHAV YA'IR
כוכב יעקב,KOKHAV YA'AQOV
כוכב מיכאל,KOKHAV MIKHA'EL
כורזים,KORAZIM
כחל,KAHAL
כחלה,
כיסופים,KISSUFIM
כישור,KISHOR
כליל,KELIL
כלנית,KALLANIT
כמאנה,
כמהין,KEMEHIN
כמון,KAMMON
כנות,KANNOT
כנף,KANAF
כנרת (מושבה),KINNERET(MOSHAVA)
כנרת (קבוצה),KINNERET(QEVUZA)
כסיפה,KUSEIFE
כסלון,KESALON
כסרא-סמיע,KISRA-SUMEI
כעביה-טבאש-חג'אג'רה,KA'ABIYYE-TABBASH-HA
כפר אביב,KEFAR AVIV
כפר אדומים,KEFAR ADUMMIM
כפר אוריה,KEFAR URIYYA
כפר אחים,KEFAR AHIM
כפר ביאליק,KEFAR BIALIK
"כפר ביל""ו",KEFAR BILU
כפר בלום,KEFAR BLUM
כפר בן נון,KEFAR BIN NUN
כפר ברא,KAFAR BARA
כפר ברוך,KEFAR BARUKH
כפר גדעון,KEFAR GID'ON
כפר גלים,KEFAR GALLIM
כפר גליקסון,KEFAR GLIKSON
כפר גלעדי,KEFAR GIL'ADI
כפר דניאל,KEFAR DANIYYEL
כפר האורנים,KEFAR HAORANIM
כפר החורש,KEFAR HAHORESH
כפר המכבי,KEFAR HAMAKKABI
כפר הנגיד,KEFAR HANAGID
כפר הנוער הדתי,KEFAR HANO'AR HADATI
כפר הנשיא,KEFAR HANASI
כפר הס,KEFAR HESS
"כפר הרא""ה",KEFAR HARO'E
"כפר הרי""ף",KEFAR HARIF
כפר ויתקין,KEFAR VITKIN
כפר ורבורג,KEFAR WARBURG
כפר ורדים,KEFAR WERADIM
כפר זוהרים,KEFAR ZOHARIM
כפר זיתים,KEFAR ZETIM
"כפר חב""ד",KEFAR HABAD
כפר חושן,KEFAR HOSHEN
כפר חיטים,KEFAR HITTIM
כפר חיים,KEFAR HAYYIM
כפר חנניה,KEFAR HANANYA
כפר חסידים א',KEFAR HASIDIM ALEF
כפר חסידים ב',KEFAR HASIDIM BET
כפר חרוב,KEFAR HARUV
כפר טרומן,KEFAR TRUMAN
כפר יאסיף,KAFAR YASIF
כפר ידידיה,YEDIDYA
כפר יהושע,KEFAR YEHOSHUA
כפר יונה,KEFAR YONA
כפר יחזקאל,KEFAR YEHEZQEL
כפר יעבץ,KEFAR YA'BEZ
כפר כמא,KAFAR KAMA
כפר כנא,KAFAR KANNA
כפר מונש,KEFAR MONASH
כפר מימון,KEFAR MAYMON
"כפר מל""ל",KEFAR MALAL
כפר מנדא,KAFAR MANDA
כפר מנחם,KEFAR MENAHEM
כפר מסריק,KEFAR MASARYK
כפר מצר,KAFAR MISR
כפר מרדכי,KEFAR MORDEKHAY
כפר נטר,KEFAR NETTER
כפר סאלד,KEFAR SZOLD
כפר סבא,KEFAR SAVA
כפר סילבר,KEFAR SILVER
כפר סירקין,KEFAR SIRKIN
כפר עבודה,KEFAR AVODA
כפר עזה,KEFAR AZZA
כפר עציון,KEFAR EZYON
כפר פינס,KEFAR PINES
כפר קאסם,KAFAR QASEM
כפר קיש,KEFAR KISH
כפר קרע,KAFAR QARA
כפר ראש הנקרה,KEFAR ROSH HANIQRA
כפר רוזנואלד (זרעית),KEFAR ROZENWALD(ZAR.
כפר רופין,KEFAR RUPPIN
כפר רות,KEFAR RUT
כפר שמאי,KEFAR SHAMMAY
כפר שמואל,KEFAR SHEMU'EL
כפר שמריהו,KEFAR SHEMARYAHU
כפר תבור,KEFAR TAVOR
כפר תפוח,KEFAR TAPPUAH
כרי דשא,KARE DESHE
כרכום,KARKOM
כרם בן זמרה,KEREM BEN ZIMRA
כרם בן שמן,KEREM BEN SHEMEN
כרם יבנה (ישיבה),KEREM YAVNE(YESHIVA)
"כרם מהר""ל",KEREM MAHARAL
כרם שלום,KEREM SHALOM
כרמי יוסף,KARME YOSEF
כרמי צור,KARME ZUR
כרמי קטיף,
כרמיאל,KARMI'EL
כרמיה,KARMIYYA
כרמים,KERAMIM
כרמל,KARMEL
לא רשום,
לבון,LAVON
לביא,LAVI
לבנים,LIVNIM
להב,LAHAV
להבות הבשן,LAHAVOT HABASHAN
להבות חביבה,LAHAVOT HAVIVA
להבים,LEHAVIM
לוד,LOD
לוזית,LUZIT
לוחמי הגיטאות,LOHAME HAGETA'OT
לוטם,LOTEM
לוטן,LOTAN
לימן,LIMAN
לכיש,LAKHISH
לפיד,LAPPID
לפידות,LAPPIDOT
לקיה,LAQYE
מאור,MA'OR
מאיר שפיה,ME'IR SHEFEYA
מבוא ביתר,MEVO BETAR
מבוא דותן,MEVO DOTAN
מבוא חורון,MEVO HORON
מבוא חמה,MEVO HAMMA
מבוא מודיעים,MEVO MODI'IM
מבואות ים,MEVO'OT YAM
מבואות יריחו,
מבועים,MABBU'IM
מבטחים,MIVTAHIM
מבקיעים,MAVQI'IM
מבשרת ציון,MEVASSERET ZIYYON
מג'ד אל-כרום,MAJD AL-KURUM
מג'דל שמס,MAJDAL SHAMS
מגאר,MUGHAR
מגדים,MEGADIM
מגדל,MIGDAL
מגדל העמק,MIGDAL HAEMEQ
מגדל עוז,MIGDAL OZ
מגדלים,MIGDALIM
מגידו,MEGIDDO
