,Total Cases,Active Cases,New Cases In The Past Week,Total Tests In The Past Week,"Active Cases Per 10,000 Residents",Population
JERUSALEM,33487,7428,4711,24688,80,1019223.0
BENE BERAQ,17553,4002,2642,9436,199,213910.0
ASHDOD,9337,3010,1975,10353,133,254955.0
TEL AVIV - YAFO,8338,2297,1241,13980,50,557003.0
PETAH TIQWA,5848,1851,1027,8339,75,272370.0
NETANYA,5062,1821,1020,6849,84,253842.0
MODI'IN ILLIT,7112,1718,1177,4468,223,79341.0
BE'ER SHEVA,4465,1606,824,8915,81,221913.0
HAIFA,4098,1390,703,7739,51,324604.0
RISHON LEZIYYON,4114,1389,801,7342,57,272544.0
HOLON,4402,1336,738,5487,72,213339.0
REHOVOT,3279,1212,768,5232,87,155493.0
,4045,1212,775,2580,255,48683.0
BET SHEMESH,5560,1161,754,3067,92,137178.0
BETAR ILLIT,4250,1066,822,2606,173,63904.0
ASHQELON,3426,1057,502,4212,75,158968.0
BAT YAM,2895,887,523,3901,68,157598.0
HADERA,2105,768,371,3314,80,105730.0
NETIVOT,2207,630,331,1669,164,41274.0
RAMAT GAN,2255,619,325,4004,42,172717.0
RAMLA,2294,609,372,2521,80,82012.0
AFULA,992,522,314,2217,98,59468.0
LOD,2313,519,310,2221,68,85359.0
QIRYAT GAT,1741,517,320,2274,90,63642.0
ROSH HAAYIN,1489,508,299,2090,85,65934.0
NAZARETH,1565,495,153,1362,63,82474.0
KEFAR SAVA,1299,484,241,3209,49,110850.0
MODI'IN-MAKKABBIM-RE,1577,465,245,2715,53,96192.0
OFAQIM,1111,440,206,1513,138,34806.0
UMM AL-FAHM,2294,439,192,1068,78,57093.0
YAVNE,1334,425,225,1737,92,50661.0
OR YEHUDA,1396,415,255,1477,119,37421.0
TAMRA,860,398,144,1005,116,34933.0
SAKHNIN,1231,390,154,1327,119,33286.0
RA'ANANA,1353,372,183,2163,49,90627.0
TIBERIAS,1499,370,235,1681,82,50033.0
HERZELIYYA,1389,359,185,2532,39,110441.0
AKKO,906,327,169,1876,64,56804.0
,1163,316,125,800,107,30410.0
ARAD,557,303,258,1072,112,31456.0
PARDES HANNA-KARKUR,735,301,137,1528,72,45272.0
NAHARIYYA,1004,291,171,1987,49,67997.0
ZEFAT,849,282,166,791,78,39252.0
QIRYAT MAL'AKHI,1160,281,180,925,115,26401.0
QIRYAT ATTA,960,281,165,2073,49,63874.0
SHEFAR'AM,753,277,99,1189,67,42157.0
YEHUD,674,270,150,1323,93,31889.0
BE'ER YA'AQOV,690,267,146,1056,103,27802.0
YIRKA,867,266,161,1105,171,16167.0
GIV'AT ZE'EV,869,265,190,837,139,20225.0
MAJD AL-KURUM,622,261,152,729,169,15737.0
TAYIBE,1647,253,174,1092,58,45075.0
QIRYAT YAM,508,251,87,1325,64,45728.0
HOD HASHARON,783,250,120,1604,42,66549.0
DEIR AL-ASAD,656,247,127,502,196,12870.0
SEDEROT,767,242,98,855,89,30083.0
KARMI'EL,667,228,126,1415,49,53908.0
DIMONA,709,225,117,1592,63,39865.0
GIV'ATAYIM,653,219,105,1418,40,63783.0
JUDEIDE-MAKER,630,214,64,563,103,21187.0
MIGDAL HAEMEQ,568,212,105,841,81,29125.0
QIRYAT SHEMONA,451,210,89,844,95,24260.0
REKHASIM,917,210,113,462,169,13037.0
RAMAT HASHARON,641,208,119,1416,46,51927.0
QIRYAT MOTZKIN,482,208,96,1542,47,50600.0
NAZERAT ILLIT,513,205,115,1193,46,51490.0
KEFAR YONA,387,203,113,781,89,25243.0
QIRYAT BIALIK,589,201,99,1290,51,45487.0
ARRABE,446,201,91,763,76,26850.0
GAN YAVNE,595,199,103,934,88,24366.0
NES ZIYYONA,763,198,101,1270,43,49553.0
MA'ALE ADUMMIM,816,192,104,1131,51,41080.0
FUREIDIS,537,190,54,352,143,13577.0
GEDERA,504,185,105,825,74,26893.0
MA'ALE IRON,637,174,54,311,115,15514.0
KAFAR MANDA,593,170,73,269,84,20703.0
ELAT,779,168,99,1957,30,67607.0
QALANSAWE,1368,163,78,490,71,23662.0
OR AQIVA,441,161,67,585,82,22082.0
BET SHE'AN,469,157,79,501,81,20574.0
MEVASSERET ZIYYON,407,152,76,1090,66,26262.0
BI NE,403,151,77,372,179,8543.0
HAZOR HAGELILIT,240,150,118,362,153,10564.0
AR'ARA,694,149,64,458,75,20465.0
ABU SINAN,474,148,62,355,111,13770.0
GIV'AT SHEMU'EL,501,146,96,844,58,27582.0
KEFAR HABAD,387,140,105,377,204,7779.0
KISRA-SUMEI,331,134,40,275,154,9013.0
REINE,385,133,30,238,80,17010.0
KAFAR KANNA,456,133,63,626,58,23324.0
YAFI,433,133,30,293,69,19636.0
TIRE,1495,131,52,470,49,27398.0
QIRYAT ONO,523,130,64,1016,35,41794.0
DABBURYE,405,129,50,387,122,10779.0
KAFAR QARA,724,126,51,394,66,19647.0
JULIS,308,126,24,173,202,6565.0
MA'ALOT-TARSHIHA,266,122,76,789,54,25090.0
RAHAT,1435,122,41,552,18,68817.0
JISR AZ-ZARQA,367,120,62,726,80,15290.0
IKSAL,357,117,56,396,78,15190.0
TIRAT KARMEL,301,117,53,512,51,25977.0
JAAT,524,117,60,347,96,12516.0
TUR'AN,290,115,34,253,79,14791.0
PEQI'IN (BUQEI'A),214,115,22,272,195,
KAFAR QASEM,1359,114,48,365,47,24756.0
EIN MAHEL,533,112,26,178,82,13804.0
KABUL,272,107,48,336,87,12473.0
QADIMA-ZORAN,257,106,52,579,50,22972.0
ZIKHRON YA'AQOV,332,103,43,562,46,24867.0
NESHER,271,103,36,962,46,25216.0
I'BILLIN,240,103,42,336,78,13543.0
MUQEIBLE,151,98,55,171,233,4269.0
MUGHAR,280,96,31,439,42,23465.0
BEIT JANN,423,96,63,352,81,12379.0
HARISH,300,92,53,459,64,16751.0
KOKHAV YA'AQOV,353,91,65,278,102,9415.0
SHIBLI,209,91,27,186,142,6659.0
MAZKERET BATYA,262,91,49,559,60,16215.0
AZOR,294,87,39,395,73,13566.0
YOQNE'AM ILLIT,272,79,32,514,34,25825.0
SHOHAM,367,78,43,585,39,21917.0
GANNE TIQWA,346,77,42,865,39,22207.0
TIFRAH,182,77,45,126,355,2233.0
ARI'EL,251,76,31,522,42,20541.0
TEL MOND,170,75,32,376,59,14236.0
DALIYAT AL-KARMEL,450,73,29,215,42,17823.0
QIRYAT YE'ARIM,313,71,48,262,113,6851.0
ABU GHOSH,200,71,21,325,89,8349.0
YANUH-JAT,167,71,43,328,108,6844.0
PARDESIYYA,106,69,47,295,112,7250.0
RAME,153,69,34,224,83,8770.0
EFRATA,238,68,38,372,60,12538.0
SHA'AB,189,67,26,201,92,7456.0
HASHMONA'IM,143,67,51,183,223,3210.0
BASMA,262,64,26,132,60,11134.0
KAFAR YASIF,216,64,23,313,60,11112.0
YEROHAM,228,59,28,371,56,11494.0
EVEN YEHUDA,214,59,27,380,44,14780.0
QIRYAT EQRON,155,55,28,355,52,11397.0
BUQ'ATA,220,54,19,65,81,6744.0
ISIFYA,259,53,24,208,43,12820.0
DEIR HANNA,197,53,24,345,50,10823.0
ORANIT,135,53,25,294,59,9692.0
ZEMER,231,52,18,139,73,7425.0
QARNE SHOMERON,161,51,30,197,61,9136.0
NAHEF,271,50,27,217,37,13716.0
MEVO HORON,96,50,41,135,197,2614.0
MAJDAL SHAMS,163,49,11-14,106,44,11535.0
QIRYAT ARBA,130,49,34,200,67,8060.0
BINYAMINA,146,48,28,346,33,15862.0
BAT HEFER,90,48,27,193,94,5668.0
QIRYAT TIV'ON,135,45,18,502,28,18265.0
GEVA BINYAMIN,143,42,31,150,77,5804.0
HURFEISH,146,40,11-14,205,63,6709.0
,71,39,35,86,119,3474.0
JALJULYE,357,39,23,165,38,10649.0
KUSEIFE,248,37,15,138,21,18204.0
MESHHED,100,37,18,111,42,8914.0
KEFAR ADUMMIM,65,36,22,142,84,4636.0
BENE AYISH,97,35,24,429,52,7536.0
REVAVA,102,35,22,129,128,2939.0
SHELOMI,110,35,20,171,53,7411.0
