,סהכ
שחר,789
תירוש,444
"ניר ח""ן",610
חצבה,722
נועם,467
בית ניר,683
שדה משה,625
באר אורה,1105
מקווה ישראל,221
אמציה,288
לכיש,835
ראש פינה,3374
שדות מיכה,384
מזכרת בתיה,16215
יסוד המעלה,1763
אופקים,34806
עוצם,624
בת שלמה,676
גדות,503
שדה דוד,644
איתן,526
כרי דשא,4
גפן,389
אליכין,3715
מטולה,1783
זוהר,384
יבנאל,4456
כפר תבור,4815
מנחמיה,1226
אילניה,610
לוזית,820
עתלית,9615
נוגה,596
כנרת )קבוצה(,853
מצפה,157
נחושה,1554
דגניה א',678
כנרת )מושבה(,682
"יד רמב""ם",1244
מגדל,2066
מרחביה )קיבוץ(,1338
אור הנר,947
ניר עוז,488
אשדוד,254955
אשבול,672
גן שמואל,1222
עין הוד,687
כפר גלעדי,750
איילת השחר,1144
קרית ענבים,399
דגניה ב',811
נהלל,1100
עין חרוד )מאוחד(,930
תל יוסף,560
כפר יחזקאל,1142
גבע,710
כרם בן שמן,80
עין חרוד )איחוד(,746
חפצי-בה,859
גיניגר,809
בלפוריה,600
בית אלפא,1158
יגור,1877
מרחביה )מושב(,773
"כפר מל""ל",372
מצפה רמון,5571
מאיר שפיה,168
תל עדשים,1334
מזרע,965
כפר גדעון,324
כפר סילבר,154
כפר חסידים א',815
אדירים,328
חופית,1002
רמת ישי,8002
שריד,1152
רמת רחל,560
גת רימון,287
משמר העמק,1424
כפר ברוך,647
גבת,1016
יפעת,1256
רמת דוד,646
עין שמר,821
כפר יהושע,1242
ברק,399
שדה יעקב,1103
בית זרע,768
גן שלמה,621
גדיש,386
דבורה,312
גבעת ברנר,2782
תל מונד,14236
באר טוביה,1278
עיינות,187
עין ורד,1651
נען,1933
בית חנן,693
חולדה,1186
חירות,1375
תימורים,839
מלאה,403
ניר יפה,695
גן יבנה,24366
עין החורש,946
כפר יונה,25243
כפר יעבץ,741
פרדסיה,7250
גבעת חיים )מאוחד(,1199
נטעים,804
אביחיל,1409
אפיקים,1414
"כפר ביל""ו",1192
רמת יוחנן,1196
אבן יהודה,14780
ירקונה,393
רמת הכובש,1045
נעורים,254
כפר הס,1492
אשדות יעקב  )מאוחד(,724
כפר פינס,656
כפר ויתקין,1938
הדר עם,822
כפר החורש,731
כפר חיים,614
משמר השרון,798
קדימה-צורן,22972
גיבתון,394
מעברות,1069
צופית,1099
אשדות יעקב  )איחוד(,1024
בית ינאי,410
בית עובד,337
אלישיב,705
חגלה,802
רמות השבים,1616
"גבעת ח""ן",407
מוצא עילית,1196
בית צבי,123
משמרות,1131
"כפר הרא""ה",1251
גני עם,259
חיבת ציון,763
כפר ביאליק,679
עין עירון,567
שושנת העמקים,596
גן השומרון,883
גני תקווה,22207
מעש,961
שפיים,1465
כפר ידידיה,718
ביצרון,1239
חבצלת השרון,479
שער העמקים,759
גן חיים,723
יקנעם עילית,25825
יקנעם )מושבה(,1433
בית השיטה,1541
נתיבות,41274
רשפון,1327
בית שערים,744
כפר סירקין,1490
הזורע,1283
ביתן אהרן,274
חולתה,694
כפר המכבי,437
כפר חיטים,728
ניר דוד )תל עמל(,888
נופך,576
שדה נחום,892
גינוסר,726
מסדה,348
שער הגולן,627
בית יוסף,497
כפר שמריהו,2518
טירת צבי,912
מולדת,1223
עין השופט,1167
מעוז חיים,594
עין גב,660
כפר מנחם,1441
צור משה,2915
אושה,528
חניתה,995
פקיעין חדשה,490
שבי ציון,1353
שדה ורבורג,1439
אלונים,744
מעלה החמישה,908
תל יצחק,810
בית יהושע,1089
עין המפרץ,965
מעין צבי,961
שרונה,660
שדה יואב,662
אילון,1207
כפר רופין,581
נווה איתן,257
כפר מסריק,799
מסילות,552
דליה,931
בית עוזיאל,669
דפנה,835
דן,750
שדה אליהו,924
גשר,508
שדמות דבורה,762
הזורעים,1020
מחניים,870
נהורה,1371
כפר גליקסון,411
גן שורק,381
נווה ים,298
אפק,767
נגבה,1093
כפר נטר,1114
בית אורן,495
עמיעוז,299
עמיר,679
כפר ורבורג,1245
בית הלל,803
שאר ישוב,587
מצובה,1306
בית יצחק-שער חפר,2332
שדות ים,1096
עזוז,85
שדה נחמיה,1173
אלומות,488
ניר צבי,1312
קבוצת יבנה,852
רמת השופט,1150
דורות,812
איבים,607
רמת צבי,734
גת )קיבוץ(,935
גברעם,623
חמדיה,428
מענית,840
כפר סאלד,711
גליל ים,528
מנרה,266
ניר עם,582
ניצן,2471
גבולות,440
בית זיד,143
רביבים,946
חורשים,397
הגושרים,893
כפר בלום,1058
יד מרדכי,891
ניצנים,535
"גבעת ניל""י",655
רוחמה,735
חפץ חיים,647
כפר אוריה,897
בית קשת,764
שמיר,941
עין העמק,842
ביריה,942
גלעד )אבן יצחק(,575
גזר,494
כדורי,102
רמות נפתלי,587
בית הלוי,787
חוקוק,717
מגל,1305
עברון,947
המעפיל,970
משגב עם,334
גאולים,987
להבות הבשן,986
מכמורת,1468
"עין הנצי""ב",656
עמיעד,563
בני דרור,1250
כפר מונש,945
כפר קיש,698
בצרה,1155
רגבה,1129
קדמה,43
גלאון,712
שובל,908
משמר הנגב,1232
נבטים,1077
חצרים,1110
שרשרת,396
בארי,1202
אבן שמואל,1812
ניר יצחק,713
אורים,576
